"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Egypt, Arab Rep.","EGY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3550","3740","3900","4010","4160","4360","4560","4790","5030","5270","5610","5850","5900","6070","6350","6700","7300","7900","8460","8670","8850","8940","10260","10350","10060","10700","10450","10790","11360","11860","12290","13050","14590",
"Euro area","EMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17048.8458097957","17962.8377774043","18534.1798815406","18791.1415300848","19563.0796861963","20443.981120331","21099.6380701211","21935.5070733218","22922.0559180073","23858.7330382551","25318.524597372","26418.2932661757","27339.9516271584","27807.5413620753","29025.3519416421","30083.9078707241","32597.4950509996","34384.6941815753","35500.5116508162","34819.4067262538","35859.0661334043","37562.2489523879","37981.8558815573","39215.9182071715","40160.021318048","41074.4699801392","43688.2684988044","45787.2438878603","47881.7427171182","50605.8818829448","48398.9400492653","51784.9891252191","56470.5443512672",
"Eritrea","ERI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","960","1080","1290","1300","1350","1470","1510","1510","1460","1580","1590","1510","1500","1560","1570","1610","1440","1460","1480","1610","","","","","","","","","","","",
"Spain","ESP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13530","14310","14690","14860","15270","16150","16740","17700","18850","19770","21430","22640","24100","24840","25900","27230","30150","31680","32340","31480","31220","31310","31470","32230","33420","34910","37400","39570","40780","43190","38080","40880","45950",
"Estonia","EST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9070","9810","11050","12370","13720","15870","18280","20480","21610","19850","20460","23300","24920","26800","28120","28530","30620","32990","35640","38270","39000","42720","46080",
"Ethiopia","ETH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","410","380","340","380","390","410","450","460","430","450","470","510","510","490","560","630","700","780","860","910","1010","1110","1190","1260","1480","1620","1840","1980","2110","2260","2370","2550","2800",
"European Union","EUU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14726.0912012387","15405.9596587515","15879.3260760131","16143.5233754864","16872.2899695119","17704.4722523384","18317.3886681636","19027.8537580685","19885.6353187732","20712.8955178512","22027.6734346261","23062.2759525499","23991.4172055081","24520.8850799853","25723.4617814561","26741.5082867749","29075.075691733","30870.2878973729","32226.083793434","31719.6892067342","32812.4952465739","34454.6227695507","34971.1511699609","36119.7327426559","37095.5483630158","38089.3471685474","40497.407387559","42620.1767630214","44728.9483123174","47526.4384886495","45876.2670748805","49175.3360042623","54014.8940915055",
"Fragile and conflict affected situations","FCS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2422.268507854","2423.3317567557","2399.20303813698","2314.84718838934","2176.40724510776","2159.58376779151","2191.53694266487","2295.15232389775","2383.57855923617","2426.6796580173","2537.32903550174","2678.41555575961","2676.2989177134","2610.95565247389","2990.1197595352","3165.27496240199","3480.86191064552","3735.76978248148","3922.46246594894","3869.44878831042","4019.76937373677","4024.21116939609","4296.19390284577","4469.79546508353","4508.21564719317","4349.87867853097","4388.96201013341","4516.8441532232","4637.72896140592","4750.19360954278","4502.35898156446","4639.65804115613","4873.27239941093",
"Finland","FIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17830","17080","16570","16660","17750","19020","19630","21470","23120","24520","26620","27790","28690","28880","31420","32190","34770","37950","40150","38440","39460","41070","41060","41660","42180","42920","45140","47590","49780","52070","53190","55560","58950",
"Fiji","FJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3780","3810","4100","4270","4510","4850","5180","5080","5060","5520","5790","5810","6130","6200","6640","6930","6830","7020","7160","7220","7280","7610","8080","8860","10240","11060","11340","11810","12750","12670","10850","10760","13370",
"France","FRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17770","18390","19040","19300","20070","20850","21540","22510","23660","24790","26500","27990","28820","28540","29460","31020","33110","34800","35860","35470","36730","38430","38500","40410","41010","41730","43830","45580","47620","51580","48880","52880","57090",
"Faroe Islands","FRO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2310","2290","2350","2300","2120","2180","2290","2450","2540","2590","2680","2710","2880","2980","3050","3020","3190","3240","3380","3420","3450","3420","3960","3940","4000","3690","4110","4060","4030","4280",
"Gabon","GAB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10800","11540","10820","11030","11710","12030","12380","12980","13520","12090","11430","11880","12190","12110","11580","12670","11890","12330","11870","11920","12230","12820","13170","13040","13960","12940","12680","13560","13630","13870","13900","12860","14880",
"United Kingdom","GBR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17490","17870","18510","19360","20820","20030","21280","22750","23830","24430","26610","28040","29430","30690","32340","33080","34610","35220","36280","34800","36590","37420","37980","39270","40550","41670","43220","45610","46560","49270","44840","49980","54920",
"Georgia","GEO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2580","1830","1700","1800","2160","2660","2890","3070","3140","3400","3660","4170","4610","5220","5990","6840","7110","6960","7430","8120","9720","10420","11420","11820","12260","12920","14030","14930","14060","16020","18830",
"Ghana","GHA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1560","1660","1720","1800","1850","1920","2000","2070","2140","2210","2280","2370","2450","2550","2700","2880","3030","3220","3490","3590","3790","4260","4690","4980","5100","4870","4620","4690","5010","5340","5620","5850","6380",
"Gibraltar","GIB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850","860","890","940","970","1010","1040","1090","1120","1160","1190","1240","1320","1280","1310","1340","1460","1560","1610","1550","1620","1690","1740","1700","1720","1760","2010","2370","2440","2540","2470","2500","2840",
"Gambia, The","GMB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1350","1400","1430","1460","1450","1460","1470","1500","1530","1590","1660","1740","1650","1780","1950","1900","1890","1950","2050","2130","2210","2000","1990","1920","1830","1870","1880","1890","2020","2140","2130","2230","2470",
"Guinea-Bissau","GNB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","990","1040","1050","1060","1080","1120","1250","1340","950","950","1010","1030","1030","1030","1070","1120","1160","1210","1220","1250","1300","1410","1320","1300","1390","1590","1740","1880","1830","2010","1940","2020","2220",
"Equatorial Guinea","GNQ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","620","620","840","910","900","970","1550","4030","4450","5740","5210","5640","7180","6820","8550","12310","20240","23230","24650","21390","16690","19120","21520","20560","19850","15730","13770","14440","13930","12410","11800","12040","12850",
"Greece","GRC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28020","28570","29940","29690","27290","24960","25120","25990","26800","26740","27380","28460","29290","30880","28280","31160","36600",
"Grenada","GRD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4400","4670","4700","4620","4750","4850","5110","5410","6030","6480","6830","6710","6960","7760","7650","9560","9390","10040","10280","9290","9600","9910","9910","10660","10950","11510","12550","13260","14220","14510","12950","14060","15870",
"Greenland","GRL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3220","3420","3560","3710","3840","4020","4090","4250","4430","4540","4700","4840","4930","5050","5220","5440","5770","6160","6420","6350","6450","6720","7060","7270","7560","8000","8040","8150","8500","8880","8700","9610","10610",
"Guam","GUM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700","2820","3240","3730","4210","4530","5100","5440","5450","5630","5760","5990","6140","6260","6580","6700","7130","8080","8400","8790","9390","10070","10700","11270","11200","11450","11470","12160","12600","13240","19080","23020","37710",
"High income","HIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18051.5357647645","18824.3796885169","19516.8281494153","20112.6354833839","21083.3753349398","21994.913609582","22999.4347758099","24079.9468943368","24953.1239425745","25944.5834190687","27643.994013455","28573.7456730544","29412.7344846965","30423.3382214273","32200.7281793908","33842.3464950678","36184.3816475963","37777.2763302092","38576.1691504529","37596.8895472849","39238.6620607622","41004.1192157536","42308.6217846902","43641.3581405139","44909.6790556249","45615.223163864","46815.7973959898","48815.7814567105","50816.3105937404","52760.7849227104","51313.7426550955","55650.2205277865","60988.2719456968",
"Hong Kong SAR, China","HKG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17740","19130","20580","22900","24170","24930","24880","26590","25610","26380","28450","29470","29800","31980","35260","38280","42730","46700","49570","47240","50230","53710","52990","54710","55910","57450","58660","62440","65500","65260","62470","70840","73940",
"Honduras","HND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","1830","1920","2080","2070","2180","2200","2300","2360","2330","2480","2530","2580","2660","2810","3020","3230","3500","3650","3550","3550","3660","3690","3780","4020","4410","4690","5110","5250","5390","4940","5600","6210",
"Heavily indebted poor countries (HIPC)","HPC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017.0392584978","1032.98064391552","1035.92024670905","1055.63354169533","1057.99917454531","1101.08531634979","1125.9829091752","1183.37446201562","1200.3689161816","1225.8236317485","1256.09172238893","1301.26571051304","1332.11037076009","1379.33347426722","1456.11341847467","1548.66225565877","1645.397393808","1739.71078790331","1824.97547371369","1855.61145183222","1916.43056518811","1986.45972858705","1984.29325075368","2057.74469754774","2237.62592500204","2288.23752038921","2375.55018066419","2432.65891251202","2521.55073263703","2600.81133466593","2574.45217196877","2705.07593667727","2957.12513599404",
"Croatia","HRV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8050","8800","9530","9890","9730","10470","11410","12560","13240","14440","15080","17150","19070","20270","19460","19350","20410","20740","21710","22030","23460","24820","27150","28790","31610","30430","35030","40740",
"Haiti","HTI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2170","2240","2130","2020","1790","1980","2060","2110","2140","2190","2210","2210","2230","2310","2300","2400","2490","2630","2710","2850","2690","2860","2810","3000","3020","2950","3150","3210","3300","3260","3140","3180","3310",
"Hungary","HUN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8220","8610","8800","8930","9230","9750","10170","11170","12440","13700","14610","15270","16040","17250","17650","19360","19820","20720","21910","22280","23830","24530","25520","27190","28300","30660","33730","33360","35650","40620",
"IBRD only","IBD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2866.32504915254","2986.61266020958","3073.404783376","3203.32812437678","3327.47010918567","3496.31629688656","3706.13702910713","3906.04015768008","3928.06159454301","4077.52797086994","4364.93446251381","4591.41919155868","4822.15751832934","5145.72979959922","5632.58796655768","6152.04729747691","6897.16827793024","7656.646573572","8272.706788251","8493.37268070039","9146.5063368164","9835.38161744795","10444.113160756","10891.8925536688","11241.5525994789","11323.4107571076","11707.1398551383","12351.6563266923","13138.2005150927","13777.9134229549","13593.4506609815","15039.3205088217","16701.7614394603",
"IDA & IBRD total","IBT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2551.66659904154","2653.37149056084","2727.5284422643","2830.35508095537","2929.55989465568","3070.12398880429","3242.39205273276","3405.65029681183","3424.23413195173","3546.81191928047","3776.39849655452","3963.45835857903","4151.63278378912","4414.77776871418","4814.4754624292","5239.7217992104","5845.5397598149","6451.75892908995","6938.59446275232","7110.21654653007","7620.45109681535","8156.14977667267","8624.07480259533","8980.26395709683","9277.56008883804","9345.08906158095","9637.76542135613","10120.3352219264","10726.4118387886","11210.3135571856","11034.8993860513","12129.805870195","13409.5330439627",
"IDA total","IDA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1299.86436340192","1339.0860137719","1378.15396384148","1391.325239819","1411.02018402943","1461.58675324169","1511.44964503205","1557.96015210562","1584.78219260025","1631.43901505455","1677.48271971441","1752.61486753968","1822.51933238148","1909.17300548513","2045.4812917246","2190.80391659141","2376.47783006643","2529.07770032534","2650.36961587725","2722.34182149924","2844.85403787964","2970.31010670989","3069.76426419096","3207.57759232268","3409.00809279861","3498.13549485877","3593.14855831867","3682.90530969857","3861.4688957217","4006.43997333019","3967.35316782497","4225.17351519814","4625.35441974113",
"IDA blend","IDB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1949.90560368351","2010.25147952441","2091.95964709883","2065.61250107023","2090.92398100087","2141.55245765898","2225.16868247966","2246.8481552869","2263.37135073559","2321.18886945097","2344.49113559224","2456.91839554471","2579.32659485169","2705.7319091312","2923.12110256979","3127.16555249582","3413.5205061901","3591.84366088528","3718.54386083057","3806.62067020514","3964.31132109826","4129.04373044688","4214.82499448325","4378.48112675034","4620.62192670613","4714.08304244939","4745.40587843683","4810.04015952389","5018.06435665225","5157.45695181303","5039.73499448549","5440.09582284462","5988.64295247838",
"Indonesia","IDN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2920","3170","3400","3680","4020","4360","4720","4940","4150","4090","4370","4710","4970","5190","5490","5890","6360","6870","7370","7660","8210","8770","9370","9710","9890","9880","10150","10600","11320","11980","11830","12730","14250",
"IDA only","IDX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","979.646685529711","1006.75920416294","1024.58411548165","1059.89115724567","1076.74369315129","1127.33695967426","1159.38657228187","1218.19408462151","1249.66034611994","1290.20086721909","1347.11590292113","1402.07331113393","1445.25300029533","1512.61593589237","1608.00809516883","1724.23716118492","1859.48363686805","1999.97405935641","2118.76814135819","2181.78832947078","2285.50141005535","2390.57258016018","2497.43645428363","2622.84927113085","2805.34284853079","2894.35574420811","3025.81581976762","3131.63782652895","3298.37282181269","3449.45298405738","3452.12031241529","3640.2651615777","3968.53979282387",
"Isle of Man","IMN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1190","1210","1280","1350","1440","1550","1670","1740","1830","1990","2070","2180","2260","2440","2660","2920","3200","3500","3610","3870","4170","4430","4770","4950","5130","5350","5660","6050","6520","6830","6430","7220","8210",
"Not classified","INX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12780","13440","13930","14640","15820","17330","18830","20450","22480","23590","26340","27830","29530","31280","33430","35050","38790","40440","38230","34650","36320","36700","37520","40440","43260","53170","58340","62000","65690","69690","70720","80870","91950",
"Iran, Islamic Rep.","IRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7590","8530","8790","8810","8770","9040","9670","9850","10020","10230","10890","11210","12190","13370","14050","14710","15710","17240","17380","17370","18350","19000","16870","16040","15790","13840","14680","15180","15050","14720","15280","16610","18130",
"Iraq","IRQ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2640","3490","4490","4540","4570","5000","5900","7790","8950","10470","10550","9430","6020","9210","8510","9570","10310","11860","11920","12240","12810","14350","14450","12930","9120","8840","9900","10160","10680","9230","9600","10820",
"Iceland","ISL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23570","24550","26460","28150","28980","28670","30810","32660","32440","34360","35470","36340","38790","34050","33590","32160","34550","36690","42100","43500","46470","50990","53920","54290","59540","53100","55520","65560",
"Israel","ISR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19980","20920","21460","22090","22350","24130","24700","25120","23790","25320","25410","26230","28140","27460","27250","28770","30750","31510","34050","34530","35560","37870","39250","40200","40710","39860","43400","48820",
"Italy","ITA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18410","19270","19820","20150","20990","22120","22840","23770","24880","25550","26970","27950","28610","29060","29510","30180","32580","34170","35200","34580","35080","36510","36440","36250","36200","36640","40040","41810","43510","46190","43680","47590","52470",
"Jamaica","JAM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4350","4630","4910","5720","5690","5940","6150","6100","5970","6060","6200","6340","6430","6780","7040","7270","7740","8030","8180","7730","7820","8100","8320","8500","8630","8810","9130","9700","10010","10380","9400","10300","11480",
"Jordan","JOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4260","4110","4640","4760","4890","5140","5150","5350","5510","5650","6080","6450","6710","7000","7700","8390","8770","9170","9640","9940","9830","10040","10180","10220","9350","9130","8990","9580","9770","9940","9670","10100","10890",
"Japan","JPN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20130","21360","21960","22440","23010","24060","25300","25960","25820","26050","27680","28380","29040","29870","31430","32880","34530","36090","36220","34390","36280","37270","38640","40760","41030","42510","42010","42980","43750","43930","43200","44910","48470",
"Kazakhstan","KAZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6820","6160","5880","6090","6370","6440","6630","7240","8540","9610","10550","11650","12590","13920","15260","15370","16020","16710","17790","19050","21900","22190","21760","21490","22160","22940","24040","24420","25280","27080",
"Kenya","KEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1670","1690","1660","1640","1680","1760","1830","1830","1870","1880","1880","1930","1920","1950","2050","2190","2320","2470","2460","2170","2320","2470","2550","2780","3040","3390","3970","4230","4500","4720","4670","5150","5680",
"Kyrgyz Republic","KGZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2380","2070","1790","1440","1370","1470","1600","1610","1640","1750","1910","1930","2090","2230","2300","2470","2730","2910","2980","2890","2950","3530","3810","4100","4050","4440","4800","5100","5000","4830","5060","5830",
"Cambodia","KHM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760","790","830","860","950","1040","1130","1190","1300","1440","1650","1850","2080","2210","2190","2330","2500","2730","2890","3020","3220","3510","3770","4090","4380","4330","4560","5080",
"Kiribati","KIR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1450","1960","2010","1960","1990","2110","1850","2230","2500","2270","2430","2550","2440","2350","2250","2320","2310","2420","2420","2280","2380","2310","2650","3010","3430","4090","3490","3760","3900","4320","3770","3860","4520",
"St. Kitts and Nevis","KNA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8740","8770","9150","9860","10470","11240","11800","12580","12290","12640","14090","14930","15220","14630","15860","18130","19510","20210","22850","22160","22530","23330","22490","23910","24590","24770","26330","27980","29330","31860","27750","28840","32180",
"Korea, Rep.","KOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8350","9470","10170","11020","12160","13450","14640","15640","14780","16620","18410","19590","21320","22020","23730","25010","26810","28990","29950","29460","31780","32750","33910","34460","35500","38020","39720","41120","43220","43780","45080","47400","50730",
"Kuwait","KWT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46100","56870","61700","68510","67330","70340","72530","66780","69850","67340","65360","74960","85350","94350","100700","101380","96940","85370","81330","83380","85850","81230","75380","51480","48780","57790","56770","56270","53240","57430","64590",
"Latin America & Caribbean (excluding high income)","LAC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5883.01792733027","6190.2181177818","6388.74064571728","6589.97348724558","6939.87839521477","7062.9259173282","7354.88693511403","7740.0965886746","7874.41682004163","7864.40240326103","8214.27631886253","8303.0138652875","8368.83349934295","8634.61569811105","9160.51207478921","9701.01190046393","10580.394724868","11342.1594856477","11964.4837937897","11788.363387822","12544.3616035371","13376.6454800114","13630.9947894103","14119.9438780611","14421.4773984278","14220.6717194419","14406.3771496906","14986.0416986774","15317.0014719744","15497.3309443777","14625.7157462099","15984.3853569005","17658.8135179337",
"Lao PDR","LAO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1010","1060","1110","1180","1260","1340","1430","1490","1530","1660","1720","1830","1950","2030","2230","2470","2630","2920","3120","3390","3540","3830","4510","4960","5570","5850","6510","6830","7390","7700","7710","8170","8810",
"Lebanon","LBN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3650","4630","5500","6000","6590","7080","7780","7790","7930","7890","8100","8280","8230","7470","9290","9990","10450","11780","12690","13610","14640","15040","15770","15510","14810","15220","16320","17740","18000","17480","14100","13400","",
"Liberia","LBR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","860","830","840","580","610","650","710","780","840","870","900","1000","1040","1210","1230","1160","1280","1400","1360","1360","1390","1470","1620",
"Libya","LBY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20710","23450","23980","26710","28950","31340","31090","29330","30250","16110","28780","24000","21020","22730","22200","24680","26690","24110","16790","22010","23590",
"St. Lucia","LCA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6040","6170","6790","6820","7010","7150","7470","7450","7930","8210","8820","8610","8820","9200","9920","10130","11260","11590","12330","12210","12370","13270","12980","13410","13130","12650","13690","14340","15190","15160","12080","14210","17110",
"Latin America & Caribbean","LCN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5954.37604596593","6298.70648740303","6528.52840753368","6736.43614255839","7055.80727360125","7220.38960236368","7513.17268669148","7918.58206850425","8058.22009965317","8032.77713298601","8392.17469677294","8506.43128524719","8519.13652208137","8738.55659257865","9341.90074476028","9941.16651414446","10895.6752216008","11720.2981026201","12329.7935363525","12120.1541656301","12841.6551834209","13675.2022471188","13984.9745083415","14503.1570681788","14813.8778176886","14658.6019744291","14872.3777241496","15481.9742080543","15862.5656976266","16089.5738578877","15188.0646440483","16652.8103703041","18411.5722308128",
"Least developed countries: UN classification","LDC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","889.374243368116","922.861707229944","903.61924105477","934.819669996721","947.357058173787","1017.890194185","1068.25796456869","1128.22585794178","1153.35954541272","1184.67395156683","1241.62012478987","1302.66208489259","1355.0357498042","1417.62177884812","1510.78954084535","1626.03039525811","1762.58790619145","1910.4618935264","2027.50905322067","2095.38525527662","2189.80383161135","2279.08108601018","2364.70859604368","2475.66069234155","2629.05807555318","2688.46069219786","2805.3804403041","2900.58924972661","3045.71158606475","3186.18945245104","3188.68725952756","3334.71404980501","3658.48792630038",
