"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","490","470","510","480","460","430","420","400","410","430","460","480","510","540","550","560","590","620","620","670","750","810","910","990","1030","1040","1070","1140","1280",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","3000","3180","2920","2890","2120","2170","2610","2820","2520","2700","2750","2910","2970","2840","3270","3910","3580","3920","4450","4790","4680","5740","5680","5770","4420","3550","3500","3640","3430","3040","3410","3520",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4880","5070","5300","5650","6050","6380","6490","6710","6730","6440","6610","6740","6900","7150","7610","8200","8890","9590","9940","10050","10450","11200","11630","12360","13010","13200","13820","14090","14790","15530","14940","16810","19490",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1510","1440","1580","1620","1530","1580","1560","1610","1610","1640","1820","1870","1890","1930","1980","2060","2140","2180","2260","2300","2370","2460","2650","2800","2900","2900","3070","3260","3390","3450","3420","3580","3850",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1080","1110","1230","1330","1570","1780","1970","2180","2420","2660","3020","3150","3280","3450","3840","4130","4520","5370","5760","5660","5670","5970","5810","5830","5720","6030","6470","6910","7330","7970","6440","7180","8970",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4740","4980","5440","5830","6150","6360","6450","6760","7090","7210","7440","7730","7980","8350","8860","9410","10350","11380","12060","11710","12340","12970","13740","14320","15260","16210","18110","19110","20010","21260","20430","21150","22820",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5702.98641560284","5944.50346387251","6305.85694514729","6739.7712242369","6934.01026296173","7352.31937414509","7775.64211067833","8011.51959588208","8174.5204922494","8594.97165226416","9001.42635472607","9323.91950595066","9790.62655511396","10530.4335447784","11334.0454613359","11962.6229026151","13143.5111219872","13988.0018249007","14443.3118856315","13882.6555667122","14241.650538089","14205.1694058123","14733.3433049353","15123.4645654025","15299.4282758184","15344.4351511951","14964.4511018336","15704.8680730628","15919.9500524458","16331.3136991472","15114.659578477","16790.509240959","20110.646667578",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24480","25050","25860","26030","25510","25860","26160","25590","25420","25050","24950","24570","25500","25640","25750","21670","23890","",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62790","64500","44080","38610","37170","38610","42330","46580","50790","55960","53030","55720","",
"Cyprus","CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13270","13470","14660","14770","15630","16230","16480","16810","19330","18530","19460","21230","22340","23290","24490","26320","28350","30780","34260","33790","33040","34280","31700","30090","29370","31710","34450","37290","39220","41660","38510","40650","45960",
"Czechia","CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11780","12130","12750","13750","14470","14600","14760","15110","15920","17130","17600","18880","19940","21070","22430","24590","26270","25850","25790","26660","27370","28860","30270","31570","33660","36630","38890","41540","40690","43760","47780",
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19670","21070","21790","21910","22790","23530","24080","24530","25200","26110","27050","28170","28870","29610","31520","32060","34740","36820","38160","37650","39730","43630","44400","46040","47950","48690","51830","54340","57060","59330","58150","60880","65300",
"Djibouti","DJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3680","3860","4100","4130","4250","4470","4820","4860","5320","5780",
